Date;Time of day;Germany/Luxembourg[€/MWh];Denmark 1[€/MWh];Denmark 2[€/MWh];France[€/MWh];Northern Italy[€/MWh];Netherlands[€/MWh];Poland[€/MWh];Sweden 4[€/MWh];Switzerland[€/MWh];Slovenia[€/MWh];Czech Republic[€/MWh];Hungary[€/MWh];Austria[€/MWh];DE/AT/LU[€/MWh];Belgium[€/MWh];Norway 2[€/MWh]
Jan 4, 2021;7:00 AM;52.03;30.85;49.76;62;62;41.61;49.76;49.76;63.08;55.18;53.25;55.04;55.18;-;68.25;30.85
Jan 4, 2021;8:00 AM;55.76;49.2;54.42;64.84;64.84;60;54.42;54.42;67.82;58.18;58.25;64.4;58.18;-;71.54;49.2
Jan 4, 2021;9:00 AM;57.06;50.02;55.69;68.25;68.25;64.83;57.37;55.69;67.72;59.19;57.5;66.69;59.19;-;54.5;50.02
Jan 4, 2021;10:00 AM;57.18;55.4;55.8;65.97;65.97;60;57.39;55.8;67.18;58.81;58.31;65.41;58.81;-;54.5;55.4
Jan 4, 2021;11:00 AM;60;56.53;58.27;63.93;63.9;58.4;58.27;58.27;67.79;60.69;59;63.88;60.69;-;58.19;56.53
Jan 4, 2021;12:00 PM;61.27;52.07;57.52;63.94;62.3;59.34;57.52;57.52;67.58;61.73;61;63.05;61.73;-;59.86;52.07
Jan 4, 2021;1:00 PM;60.28;56.53;56.53;63.94;62;58.4;57.48;56.53;66.92;60.92;60.77;60.77;60.92;-;58.51;56.53
Jan 4, 2021;2:00 PM;60.07;57.99;57.99;61.97;61.97;59.91;57.99;57.99;66.83;60.41;59.5;59.51;60.41;-;59.32;57.99
Jan 4, 2021;3:00 PM;59.46;58.03;58.03;62.45;62.45;59.52;58.03;58.03;66.55;59.99;59.3;61.4;59.99;-;57.61;57.61
Jan 4, 2021;4:00 PM;61.99;60.5;60.5;63.9;63.9;62.06;60.5;60.5;67.82;62.33;63.1;66.55;62.33;-;60.77;60.07
Jan 4, 2021;5:00 PM;66.82;65.22;65.22;67.02;67.02;67.37;65.22;65.22;71.94;66.88;63.75;70.4;66.88;-;67.04;65.22
Jan 4, 2021;6:00 PM;61.97;60.05;60.05;71.05;71.05;61.56;60.05;60.05;69.54;64.44;62.3;68.91;64.44;-;76.05;59.59
Jan 4, 2021;7:00 PM;55.06;53.73;53.73;72.6;70.18;42.9;57.4;53.73;68.92;59.93;59.96;65.07;59.93;-;45.88;41.53
Jan 4, 2021;8:00 PM;47.34;37.68;37.68;70;65;41.39;58.26;37.68;66.07;52.23;60.5;62.3;52.23;-;37.43;37.68
Jan 4, 2021;9:00 PM;45.64;34.82;38.49;61.39;61.39;42.9;47.88;38.49;60;49.06;52.1;52.96;49.06;-;39.07;34.82
Jan 4, 2021;10:00 PM;48.93;30.95;30.95;59.8;59.8;41.94;46.08;30.95;59.12;51.13;48.57;49.16;51.13;-;47.1;30.95
Jan 4, 2021;11:00 PM;44.64;27.35;27.35;54.69;54.69;40;40.59;27.35;56.42;46.71;43.9;43.9;46.71;-;43.8;27.35
Jan 5, 2021;12:00 AM;37.54;27.81;27.81;54.79;54.79;41.82;48.93;27.81;51.65;42.03;37.48;37.48;42.03;-;67.6;27.81
Jan 5, 2021;1:00 AM;40.07;27.45;27.45;50.3;50.3;41.98;45.13;27.45;50.07;42.46;36.04;35.28;42.46;-;50;27.45
Jan 5, 2021;2:00 AM;39.81;27.08;27.08;49.53;49.53;41.92;42.19;27.08;47.22;42.01;34.2;23.97;42.01;-;44.7;27.08
Jan 5, 2021;3:00 AM;39.65;27.14;27.14;44.58;44.58;42;42.19;27.14;45.25;40.71;31.81;19.69;40.71;-;37.92;27.14
Jan 5, 2021;4:00 AM;40.2;27.79;27.79;45.05;45.05;41.96;41.26;27.79;44.81;41.24;32.75;29.73;41.24;-;38.42;27.79
Jan 5, 2021;5:00 AM;44.26;29.81;29.81;49.53;49.53;45;44.75;29.81;48.45;45.63;37.4;37.4;45.63;-;53.65;29.81
Jan 5, 2021;6:00 AM;47.06;35.78;35.78;58.15;58.15;36.97;46.17;35.78;57.23;49.5;46.86;46.86;49.5;-;46.8;35.78
Jan 5, 2021;7:00 AM;54.96;53.64;53.64;68.3;62;45.1;59.53;53.64;61.55;57.77;57.54;58.72;57.77;-;49.08;46.59
Jan 5, 2021;8:00 AM;63.67;60;60;70.41;65.06;58.08;60;60;63.89;65.06;62.43;62.43;65.06;-;65.98;60
Jan 5, 2021;9:00 AM;64.73;60.12;60.12;75;66.97;60;60.12;60.12;63.99;66.97;64.42;65.48;66.97;-;83.57;60.12
Jan 5, 2021;10:00 AM;66.07;61.18;61.18;73.48;67.74;59.22;61.18;61.18;64.04;67.74;64.15;64.15;67.74;-;80;61.18
Jan 5, 2021;11:00 AM;65.97;62.46;62.46;72.31;67.4;60.47;62.46;62.46;63.72;67.4;63.99;63.99;67.4;-;77.88;62.46
Jan 5, 2021;12:00 PM;65.46;61.48;61.48;71.35;66.77;59.51;61.48;61.48;63.75;66.77;64.2;64.2;66.77;-;76.55;61.48
Jan 5, 2021;1:00 PM;63.82;62.29;62.29;72.52;65.89;64.35;62.29;62.29;63.03;65.89;63.65;63.65;65.89;-;79.75;62.29
Jan 5, 2021;2:00 PM;63.87;61.89;62.04;69.75;65.32;59.91;62.04;62.04;61.96;65.19;62;62;65.19;-;74.87;61.89
Jan 5, 2021;3:00 PM;64.05;62.51;62.51;66.46;65;60.87;62.51;62.51;61.88;64.56;62.18;62.18;64.56;-;68.63;62.51
Jan 5, 2021;4:00 PM;64.26;64.26;64.26;66.04;64.64;62.21;64.26;64.26;63.61;64.64;64.81;67.56;64.64;-;67.6;64.26
Jan 5, 2021;5:00 PM;67.14;65.6;65.6;71.9;68.32;62.98;65.6;65.6;67.3;68.32;67.1;70.62;68.32;-;75.89;65.06
Jan 5, 2021;6:00 PM;61.61;60.13;60.13;80;66.77;45.7;60.13;60.13;65.6;66.04;64;67.51;66.04;-;80;47.21
Jan 5, 2021;7:00 PM;59.16;54.66;54.66;80;64.33;43.37;59.23;54.66;64.08;63.61;59.3;60.06;63.61;-;49.9;44.81
Jan 5, 2021;8:00 PM;59.26;40.78;40.78;70.12;64;42.12;52.74;40.78;62.67;61.93;53.44;53.44;61.93;-;73.7;40.78
Jan 5, 2021;9:00 PM;53.62;39.6;39.6;58.87;58.16;45.65;48.94;39.6;59.5;54.91;48.39;48.39;54.91;-;60.58;39.6
Jan 5, 2021;10:00 PM;53.86;32.06;32.06;58.5;56.16;45.6;49.14;32.06;58.61;54.93;48.2;48.2;54.93;-;60.03;32.06
Jan 5, 2021;11:00 PM;47.99;29.21;29.21;55.51;55.51;42.45;48.41;29.21;55.36;49.76;42.6;42.6;49.76;-;58.14;29.21
Jan 6, 2021;12:00 AM;44.41;29.83;29.83;53.73;53.73;44.62;41.8;29.83;55.23;0.96;43.1;43.1;46.28;-;47.9;29.83
Jan 6, 2021;1:00 AM;42.94;28.72;28.72;52.95;52.6;44.7;39.76;28.72;52.07;1;41.8;35.62;45.02;-;51.4;28.72
Jan 6, 2021;2:00 AM;42.88;28.11;28.11;52.73;50.6;45.27;39.85;28.11;51.08;0.1;41.22;30.31;44.93;-;50.32;28.11
Jan 6, 2021;3:00 AM;42.15;27.98;27.98;50.12;49;44.08;39.85;27.98;48.75;5.02;40.27;21.52;43.8;-;48.17;27.98
Jan 6, 2021;4:00 AM;43.23;28.16;28.16;47.2;47.2;44.33;39.85;28.16;47.66;37;41.1;31.93;44.06;-;46.23;28.16
Jan 6, 2021;5:00 AM;44.56;29;29;49.29;49.29;45.79;39.85;29;50.37;37.9;43.51;43.51;45.54;-;48.14;29
Jan 6, 2021;6:00 AM;47.4;30.72;30.72;55;55;42.16;40.67;30.72;55.17;37.99;46.62;46.62;48.91;-;46.5;30.72
Jan 6, 2021;7:00 AM;44.05;35.54;35.54;67.61;56.6;46.11;45.11;35.54;60.09;50.3;49.77;51.91;50.3;-;87.66;35.54
Jan 6, 2021;8:00 AM;53.41;39.18;39.18;73.6;59.8;60.1;47.26;39.18;59.8;58.9;52.08;57.39;58.9;-;90.35;39.18
Jan 6, 2021;9:00 AM;54.8;41.88;41.88;91.73;61.1;50;47.26;41.88;60.55;61.1;56.52;61.1;63.58;-;121.14;41.88
Jan 6, 2021;10:00 AM;53.94;46.07;46.07;86.99;60.62;52.4;50.66;46.07;60.64;60.62;57.28;60.59;62.78;-;115.5;46.07
Jan 6, 2021;11:00 AM;58.3;45.27;45.27;80.02;60.62;60;47.26;45.27;60.69;60.62;58.76;63.28;64.24;-;98.34;45.27
Jan 6, 2021;12:00 PM;61.43;46.21;46.21;78.76;58;53.2;53.01;46.21;60.96;58;60.1;60.1;65.93;-;94.38;46.21
Jan 6, 2021;1:00 PM;61.92;47.35;47.35;73.79;56.23;56.22;50.7;47.35;60.63;56.23;59.97;59.97;64.99;-;84.45;47.35
Jan 6, 2021;2:00 PM;57;51.31;51.31;73.02;58.62;59.94;51.31;51.31;60.14;58.62;58;58;61.31;-;86.46;51.31
Jan 6, 2021;3:00 PM;57.53;54.9;54.9;70.89;61.05;56.91;54.9;54.9;60.63;61.05;58.63;60.03;61.05;-;82.28;54.9
Jan 6, 2021;4:00 PM;61.68;58.4;58.4;72.85;64.68;64;58.4;58.4;60.66;64.68;60;64;64.68;-;82.14;58.4
Jan 6, 2021;5:00 PM;61.84;59.93;59.93;79.63;66.94;68.83;59.93;59.93;62.31;66.46;60.77;65.47;66.46;-;94.18;59.93
Jan 6, 2021;6:00 PM;57.46;55.67;55.67;101.07;68.45;45.48;57.96;55.67;62.42;68.45;60;64.84;68.45;-;139.48;55.67
Jan 6, 2021;7:00 PM;58.06;50.25;50.25;96.85;67.05;53.68;58.53;50.25;61.41;67.05;59.41;61;67.05;-;128.04;50.25
Jan 6, 2021;8:00 PM;59.97;39.84;39.84;79.6;64.28;44.24;57.15;39.84;61.02;64.28;58.19;58.19;64.28;-;83.6;39.84
Jan 6, 2021;9:00 PM;52.95;39.93;39.93;69.77;60.7;44.9;50.32;39.93;58.68;57.07;53;53;57.07;-;82.09;39.93
Jan 6, 2021;10:00 PM;52.95;38.7;38.7;64.31;56.6;43.6;45.38;38.7;58.32;55.27;50.28;50.28;55.27;-;73;38.7
Jan 6, 2021;11:00 PM;49.53;32.5;32.5;62.39;55;43.6;45.29;32.5;55.22;49.1;47.88;47.88;52.11;-;73;32.5
Jan 7, 2021;12:00 AM;51.03;43.08;43.08;77;56.87;44.5;43.69;43.08;55.65;56.87;47.66;38.99;56.87;-;91.6;43.08
Jan 7, 2021;1:00 AM;50.18;40.9;40.9;65.85;54.71;42.4;42.65;40.9;52.61;53.55;43.2;28.03;53.55;-;68.2;40.9
Jan 7, 2021;2:00 AM;48.97;39.19;39.19;63.78;53.7;40.54;43.95;39.19;51.37;51.82;45.62;21.24;51.82;-;42.7;39.19
Jan 7, 2021;3:00 AM;46.72;39.78;39.78;51.51;51.51;43.1;42.53;39.78;51.14;47.65;43;22.13;47.65;-;44.07;39.78
Jan 7, 2021;4:00 AM;46.87;41.28;41.28;49.35;49.35;45;43.81;41.28;50.1;47.35;45.79;29.17;47.35;-;45.5;41.28
Jan 7, 2021;5:00 AM;50.08;45.54;45.54;55.63;55.63;45.81;45.94;45.54;52.89;51.15;48.58;47.56;51.15;-;47;45.54
Jan 7, 2021;6:00 AM;57.34;55.97;55.97;65;61.6;46.46;59.49;55.97;59.94;59.17;63.09;63.09;59.17;-;69.4;52.86
Jan 7, 2021;7:00 AM;67.8;67.8;67.8;83.98;71.09;58.31;65.45;67.8;68.51;71.09;72.75;72.75;71.09;-;53.51;67.8
Jan 7, 2021;8:00 AM;86.51;84.43;86.51;95.02;88.26;81.4;71.84;84.43;75.43;88.26;80;80;88.26;-;78.95;84.43
Jan 7, 2021;9:00 AM;86.54;83.86;83.86;99;92.28;81.17;74.91;83.86;77.49;89.29;81.17;81.17;89.29;-;76.87;83.86
Jan 7, 2021;10:00 AM;85.08;82.44;82.44;93.83;86.88;79.81;75.71;82.44;78.71;86.88;80.95;80.95;86.88;-;77.28;82.44
Jan 7, 2021;11:00 AM;88.74;85.99;85.99;97.87;90.62;83.24;80.98;85.99;79.93;90.62;80;80;90.62;-;80.6;85.99
Jan 7, 2021;12:00 PM;88.76;84.71;84.71;100;77.9;82;77.76;84.71;78.69;77.9;79.01;79.01;91.07;-;78.76;84.71
Jan 7, 2021;1:00 PM;84.31;82.29;82.29;92.14;78.3;79.61;79.46;82.29;79.11;78.3;78.33;78.33;85.92;-;77.35;82.29
Jan 7, 2021;2:00 PM;80.4;78.62;78.62;80.4;80.4;80.4;77.67;78.62;79.36;80.4;78.5;78.5;80.4;-;80.4;78.62
